Numer                                       wpisu;Imiê i nazwisko lub nazwa inwestora;Data wpisu;Adres;Rodzaj;opis;typ;Data wniosku;Nr               wniosku;Nr               decyzji;Data decyzji;Rok wniosku;Miesi¹c wniosku;data;Czas rozpatrzenia
775;;;Siedlecka 8 ;bud.mieszkalne jednorodzinne;budowa budynku mieszkalnego jednorodzinnego;nowe;2014-12-19;40928/14;1519/15;2015-03-31;2014;12;2014-12-01;73
789;;;Mydlarskiego Jana  ;bud.mieszkalne jednorodzinne;budowa budynku mieszkalnego jednorodzinnego;nowe;2015-02-18;5022/15;1549/15;2015-04-01;2015;2;2015-02-01;31
793;;;Iracka  10 ;bud.mieszkalne jednorodzinne;budowa budynku jednorodzinnego;nowe;2015-02-26;6093/15;1554/15;2015-04-01;2015;2;2015-02-01;25
810;;;Górecka  ;bud.mieszkalne jednorodzinne;budowa budynku mieszkalnego jednorodzinnego;nowe;2015-02-27;6262/15;1586/15;2015-04-03;2015;2;2015-02-01;26
811;;;Jutrzenki 73C ;bud.mieszkalne jednorodzinne;budowa budynku mieszkalnego jednorodzinnego;nowe;2015-03-20;8963/15;1588/15;2015-04-03;2015;3;2015-03-01;11
814;;;Stefki Kamila  ;bud.o dwóch mieszkaniach;budowa budynku mieszkalnego jednorodzinnego dwulokalowego wolno stoj¹cego;nowe;2015-02-05;3468/15;1605/15;2015-04-07;2015;2;2015-02-01;44
823;;;Bia³oruska 7 ;bud.mieszkalne jednorodzinne;budowa budynku mieszkalnego jednorodzinnego;nowe;2015-03-06;7041/15;1621/15;2015-04-08;2015;3;2015-03-01;24
845;;;Zamkowa  ;bud.o trzech i wiêcej mieszkaniach;budowa budynku biurowo-us³ugowego z parkingiem;nowe;2015-01-21;1773/15;1661/15;2015-04-09;2015;1;2015-01-01;57
854;;;Siedlecka  27 ;bud.mieszkalne jednorodzinne;budowa budynku mieszkalnego;nowe;2015-01-07;212/15;1680/15;2015-04-10;2015;1;2015-01-01;68
859;;;Krzywickiego Ludwika 4-6 ;bud.mieszkalne jednorodzinne;budowa budynku mieszkalnego jednorodzinnego;nowe;2015-02-06;3645/15;1693/15;2015-04-13;2015;2;2015-02-01;47
876;;;Poœwiêcka  28 ;bud.mieszkalne jednorodzinne;budowa budynku jednorodzinnego;nowe;2015-02-20;5299/15;1733/15;2015-04-15;2015;2;2015-02-01;39
878;;;Ró¿ Aleja  ;bud.o dwóch mieszkaniach;budowa budynku mieszkalnego;nowe;2015-01-09;450/15;1736/15;2015-04-15;2015;1;2015-01-01;69
886;;;Wyk³adowa  ;bud.mieszkalne jednorodzinne;budowa budynku mieszkalnego jednorodzinnego wolno stoj¹cego;nowe;2015-03-31;10188/15;1752/15;2015-04-16;2015;3;2015-03-01;13
895;;;ródlana  ;bud.mieszkalne jednorodzinne;budowa budynku mieszkalnego jednorodzinnego wolno stoj¹cego;nowe;2014-12-18;40725/14;1769/15;2015-04-16;2014;12;2014-12-01;86
905;;;Wittek Marii Genera³  ;bud.mieszkalne jednorodzinne;budowa budynku mieszkalnego jednorodzinnego;nowe;2015-03-13;8032/15;1791/15;2015-04-17;2015;3;2015-03-01;26
909;;;Maœlicka  ;bud.o trzech i wiêcej mieszkaniach;budowa budynku mieszkalnego wielorodzinnego wraz z rozbiórk¹ budynku gospodarczego;nowe;2015-01-15;1212/15;1805/15;2015-04-17;2015;1;2015-01-01;67
915;;;Wa³owa  ;bud.mieszkalne jednorodzinne;budowa dwóch budynków mieszkalnych jednorodzinnych dwulokalowych w zabudowie bli¿niaczej z gara¿em wolno stoj¹cym;nowe;2015-02-18;5064/15;1813/15;2015-04-20;2015;2;2015-02-01;44
917;;;Bi³gorajska  ;bud.mieszkalne jednorodzinne;budowa zespo³u budynków jednorodzinnych w zabudowie szeregowej;nowe;2014-10-10;32892/14;1818/15;2015-04-20;2014;10;2014-10-01;137
934;;;W³oœciañska  ;bud.mieszkalne jednorodzinne;budowa budynku jednorodzinnego;nowe;2015-01-22;1905/15;1860/15;2015-04-22;2015;1;2015-01-01;65
944;;;  ;bud.mieszkalne jednorodzinne;budowa budynku jednorodzinnego;nowe;2015-03-16;8233/15;1879/15;2015-04-22;2015;3;2015-03-01;28
946;;;Lekcyjna  4B ;bud.o dwóch mieszkaniach;budowa budynku jednorodzinnego;nowe;2015-04-13;11464/15;1881/15;2015-04-22;2015;4;2015-04-01;8
950;;;Mys³akowicka  16 ;bud.mieszkalne jednorodzinne;budowa budynku mieszkalnego jednorodzinnego w zabudowie bli¿niaczej;nowe;2015-02-13;4533/15;1888/15;2015-04-22;2015;2;2015-02-01;49
952;;;Mazepy  ;bud.mieszkalne jednorodzinne;budowa budynku mieszkalnego jednorodzinnego w zabudowie wolno stoj¹cej;nowe;2015-02-06;3655/15;1895/15;2015-04-23;2015;2;2015-02-01;55
961;;;Bia³odrzewna  ;bud.o trzech i wiêcej mieszkaniach;budowa budynku wielorodzinnego;nowe;2015-03-30;9939/15;1911/15;2015-04-23;2015;3;2015-03-01;19
966;;;Grota-Roweckiego Stefana Gen.  ;bud.o trzech i wiêcej mieszkaniach;budowa zespo³u trzech budynków wielorodzinnych;nowe;2014-12-23;41285/14;1925/15;2015-04-24;2014;12;2014-12-01;89
977;;;Staroœciñska 18A ;bud.o dwóch mieszkaniach;budowa dwóch budynków mieszkalnych jednorodzinnych;nowe;2015-04-15;11746/15;1948/15;2015-04-27;2015;4;2015-04-01;9
994;;;Lewa  32 ;bud.mieszkalne jednorodzinne;budowa budynku mieszkalnego jednorodzinnego;nowe;2015-02-06;3551/15;1974/15;2015-04-28;2015;2;2015-02-01;58
995;;;Mazepy  34 ;bud.o dwóch mieszkaniach;budowa dwóch budynków mieszkalnych  jednorodzinnych dwulokalowych w zabudowie blizniaczej;nowe;2015-02-13;4508/15;1977/15;2015-04-28;2015;2;2015-02-01;53
1009;;;Ksiêcia Witolda  43 ;bud.o trzech i wiêcej mieszkaniach;budowa budynku mieszkalno-us³ugowego;nowe;2014-12-09;39623/14;2010/15;2015-04-30;2014;12;2014-12-01;103
1015;;;Stab³owicka  73 ;bud.mieszkalne jednorodzinne;budowa budynku mieszkalnego jednorodzinnego;nowe;2015-03-06;7109/15;2022/15;2015-04-30;2015;3;2015-03-01;40
1021;;;Sarnia  ;bud.mieszkalne jednorodzinne;budowa budynku mieszkalnego jednorodzinnego;nowe;2015-03-26;9615/15;2031/15;2015-04-30;2015;3;2015-03-01;26
1026;;;  ;bud.mieszkalne jednorodzinne;budowa budynku mieszkalnego jednorodzinnego;nowe;2015-04-01;10334/15;2049/15;2015-05-04;2015;4;2015-04-01;24
1042;;;W¹sowicza Józefa  30 ;bud.o dwóch mieszkaniach;budowa budynku jednorodzinnego wolno stoj¹cego;nowe;2015-04-09;11070/15;2072/15;2015-05-05;2015;4;2015-04-01;19
1052;;;  ;bud.mieszkalne jednorodzinne;budowa domu jednorodzinnego;nowe;2015-02-02;2888/15;2084/15;2015-05-05;2015;2;2015-02-01;67
1061;;;£ukowska  59 ;bud.mieszkalne jednorodzinne;budowa budynku mieszkalnego jednorodzinnego wolno stoj¹cego dwulokalowego;nowe;2015-02-24;5652/15;2098/15;2015-05-06;2015;2;2015-02-01;52
